track_survey_ID,layer_number,depth_top_layer,depth_bottom_layer,layer_thickness,hand_hardness,category,index
10,1,52,47,5,P,hard,4
10,2,47,40,7,4F,soft,2
10,3,40,36,4,P,hard,4
10,4,36,35,1,4F,soft,2
10,5,35,30,5,K,hard,5
10,6,30,27,3,4F,soft,2
10,7,27,18,9,1F,soft,3
10,8,18,16,2,4F,soft,2
10,9,16,13,3,K,hard,5
10,10,13,0,13,F,soft,1
11,1,16,7,9,P,hard,4
11,2,7,5,2,1F,soft,3
11,3,5,3,2,K,hard,5
11,4,3,0,3,F,soft,1
12,1,18,17,1,4F,soft,2
12,2,17,16.5,0.5,P,hard,4
12,3,16.5,15,1.5,1F,soft,3
12,4,14,11,3,P,hard,4
12,5,11,3,8,1F,soft,3
12,6,3,0,3,1F,soft,3
13,1,27,17,10,K,hard,5
13,2,17,16,1,1F,soft,3
13,3,16,3,13,P,hard,4
13,4,3,0,3,4F,soft,2
14,1,14,10,4,P,hard,4
14,2,10,4,6,4F,soft,2
14,3,4,0,4,4F,soft,2
15,1,21,19,2,1F,soft,3
15,2,19,17,2,4F,soft,2
15,3,17,14,3,P,hard,4
15,4,14,3,11,1F,soft,3
15,5,3,0,3,F,soft,1
16,1,15,11,4,F,soft,1
16,2,11,5,6,P,hard,4
16,3,5,0,5,K,hard,5
17,1,20.5,19.5,1,F,soft,1
17,2,19.5,4.5,5,P,hard,4
17,3,4.5,0,4.5,F,soft,1
18,1,21,20,1,1F,soft,3
18,2,20,14,6,F,soft,1
18,3,14,10,4,1F,soft,3
18,4,10,0,10,F,soft,1
19,1,36,32,4,4F,soft,2
19,2,32,28,4,P,hard,4
19,3,28,27,1,4F,soft,2
19,4,27,21,6,P,hard,4
19,5,21,16,5,1F,soft,3
19,6,16,0,16,K,hard,5
20,1,20,10,10,P,hard,4
20,2,10,8,2,4F,soft,2
20,3,8,0,8,P,hard,4
21,1,17,10,7,P,hard,4
21,2,10,0,10,1F,soft,3
22,1,15,9,6,1F,soft,3
22,2,9,4,5,F,soft,1
22,3,4,0,4,4F,soft,2
23,1,32,6,26,P,hard,4
23,2,6,0,6,F,soft,1
24,1,12,11,1,1F,soft,3
24,2,11,6,5,F,soft,1
24,3,6,5,1,P,hard,4
24,4,5,0,5,F,soft,1
25,1,14,10,4,4F,soft,2
25,2,10,4,6,F,soft,1
25,3,4,0,4,P,hard,4
26,1,12,7,5,P,hard,4
26,2,7,0,7,4F,soft,2
27,1,17,10,7,P,hard,4
27,2,10,0,10,4F,soft,2
28,1,21,10,11,1F,soft,3
28,2,10,0,10,1F,soft,3
29,1,22,11,11,4F,soft,2
29,2,11,9,2,P,hard,4
29,3,9,6,3,F,soft,1
29,4,6,4.5,1.5,P,hard,4
29,5,4,0,4.5,4F,soft,2
30,1,16,0,16,1F,soft,3
31,1,18,16,2,F,soft,1
31,2,16,11,5,4F,soft,2
31,3,11,6,5,F,soft,1
31,4,6,0,6,P,hard,4
32,1,36,24,12,P,hard,4
32,2,24,18,6,1F,soft,3
32,3,18,13,5,1F,soft,3
32,4,13,5,8,K,hard,5
32,5,5,0,5,4F,soft,2
33,1,22,10,12,P,hard,4
33,2,10,4,6,1F,soft,3
33,3,4,0,4,P,hard,4
34,1,21,13,8,1F,soft,3
34,2,13,10,3,4F,soft,2
34,3,10,4,6,F,soft,1
35,1,21,14,7,P,hard,4
35,2,14,11,3,4F,soft,2
35,3,11,0,11,K,hard,5
36,1,27,23,4,1F,soft,3
36,2,23,17,6,F,soft,1
36,3,17,12,5,P,hard,4
36,4,12,11,1,F,soft,1
36,5,11,0,11,P,hard,4
37,1,56,50,6,1F,soft,3
37,2,50,47,3,4F,soft,2
37,3,47,44,3,F,soft,1
37,4,44,40,4,P,hard,4
37,5,40,39,1,F,soft,1
37,6,39,16,23,K,hard,5
37,7,16,0,16,P,hard,4
38,1,55,47,8,1F,soft,3
38,2,47,37,10,1F,soft,3
38,3,37,22,15,P,hard,4
38,4,22,12,10,P,hard,4
38,5,12,0,12,4F,soft,2
39,1,27,17,10,K,hard,5
39,2,17,5,12,1F,soft,3
39,3,5,0,5,F,soft,1
40,1,25,14,11,P,hard,4
40,2,14,8,6,1F,soft,3
40,3,8,0,8,4F,soft,2
41,1,33,25,8,K,hard,5
41,2,25,19,6,P,hard,4
41,3,19,6,13,1F,soft,3
41,4,6,0,6,F,soft,1
42,1,17,12,5,1F,soft,3
42,2,12,0,12,F,soft,1
43,1,34,19,15,1F,soft,3
43,2,19,0,19,4F,soft,2
44,1,32,24,8,4F,soft,2
44,2,24,21,3,1F,soft,3
44,3,21,15,6,P,hard,4
44,4,15,0,15,F,soft,1
45,1,25,14,11,P,hard,4
45,2,14,8,6,1F,soft,3
45,3,8,0,8,4F,soft,2
